Cluster,SeniorCitizen,tenure,MonthlyCharges,Churn,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year
0,0.0,32.22093918398768,64.94919168591224,0.2317167051578137,0.5196304849884527,0.3371824480369515,1.0,0.5150115473441108,0.2571208622016936,0.0,1.0
1,0.0,31.00207986688852,64.50166389351081,0.25707154742096505,0.4937603993344426,0.2208818635607321,1.0,0.11231281198003328,0.21963394342762063,0.2853577371048253,0.0
2,0.15249266862170088,31.737536656891496,42.01759530791789,0.24926686217008798,0.5146627565982405,0.3020527859237537,0.0,0.3812316715542522,0.4413489736070381,0.23020527859237536,0.2404692082111437
3,0.0,34.068518518518516,62.42777777777778,0.21481481481481482,0.5104938271604939,0.5265432098765432,1.0,0.8197530864197531,0.921604938271605,0.2382716049382716,0.0
4,1.0,33.49710982658959,83.69556840077071,0.4161849710982659,0.49614643545279385,0.0789980732177264,1.0,0.4277456647398844,0.4238921001926782,0.2350674373795761,0.22350674373795762
